PARCEL_LID,CAL_ACREAGE,geometry_area_m2,geometry_acres,total_pixels,valid_pixels,pixel_area_m2,pixel_acres,diff_acres_cal_vs_pixel,diff_pct_cal_vs_pixel,diff_acres_cal_vs_geom,diff_pct_cal_vs_geom
02007HI9ETV02PTET2THV1,101.1246,409237.1922131967,101.12462309375583,519,519,467100.0,115.42282164443543,-14.29822164443543,-14.139212065546294,-2.3093755828540452e-05,-2.2836931694701834e-05
0203JS1OBKJHY07EBKB10M,0.2136,864.3446181525392,0.2135840177699597,6,6,5400.0,1.3343678802824905,-1.1207678802824905,-524.7040638026641,1.5982230040317846e-05,0.007482317434605732
0204534HH7HOHQ77V8KD9A,2.2818,9234.260024061154,2.281833328571078,21,21,18900.0,4.670287580988717,-2.3884875809887167,-104.67558861375741,-3.3328571078072855e-05,-0.001460626307216796
0205ER5N1C081FBLXU4E1L,74.2295,300394.5272371559,74.22903862183418,383,383,344700.0,85.17714969136564,-10.94764969136564,-14.748381292297053,0.00046137816582358937,0.0006215563432645907
02036BHATUSL16AR11U1BX,0.2293,928.4693232814011,0.22942956348413365,5,5,4500.0,1.1119732335687422,-0.8826732335687422,-384.942535354881,-0.00012956348413364904,-0.05650391806962452
0201I6BB8I4BN5QQ8N5MUV,2.8017,11335.789694768358,2.8011321604326214,23,23,20700.0,5.115076874416214,-2.3133768744162144,-82.57047058629455,0.000567839567378492,0.020267679172591355
0201WDP5IUXOF3AYW8XFIA,11.6486,47139.84043877576,11.648497956137787,72,72,64800.0,16.012414563389886,-4.3638145633898855,-37.4621376250355,0.0001020438622134634,0.0008760182529528303
020755V5OOIT9RY8YTENKK,0.1839,744.3881241569646,0.18394214876644227,4,4,3600.0,0.8895785868549937,-0.7056785868549937,-383.7295197688927,-4.214876644226262e-05,-0.022919394476488646
0200TA9J43SK93WMSXCKRX,6.1949,25069.777736298267,6.194871514284721,42,42,37800.0,9.340575161977434,-3.145675161977434,-50.77846554387374,2.8485715279025214e-05,0.0004598252639917548
0202UFBHVOHXVSSG5WXBL3,20.4034,82569.79606853152,20.40342291765258,118,118,106200.0,26.242568312222314,-5.839168312222313,-28.61860431213578,-2.2917652579224068e-05,-0.00011232271375958942
0206N0WTA6ZQDX80QR6EC4,0.5548,2245.2464485788023,0.5548119896855345,6,6,5400.0,1.3343678802824905,-0.7795678802824906,-140.5133165613718,-1.1989685534508077e-05,-0.002161082468368435
0202WCADZG47GMSCQROMW1,1.829,7401.513945772545,1.8289523101299638,18,18,16200.0,4.003103640847471,-2.1741036408474717,-118.86843306984535,4.768987003611613e-05,0.0026074286515099035
02003UAGQZM10I543PFDQD,0.1148,464.5002599528351,0.11478041245628341,4,4,3600.0,0.8895785868549937,-0.7747785868549937,-674.8942394207262,1.9587543716587108e-05,0.01706232031061595
